,BA,BK,BN,BS,DK,GB,HC,JK,LB,LM,LR,LS,MK,PK,TC,TR,WB,MB,MD,JB
1999-09-01,0.081,0.094,0.117,0.65,,0.104,0.125,0.088,,0.101,0.099,0.115,0.06,0.089,0.122,0.113,0.113,0.075,0.07,0.144691648984
1999-09-02,0.082,0.062,0.097,,,0.071,0.116,0.061,,0.08,0.091,0.112,0.034,0.109,0.098,0.116,0.092,0.15,0.146,0.1235144010159999
1999-09-03,0.157,0.116,0.148,,,0.105,0.143,0.123,,0.136,0.148,0.147,0.095,0.188,0.154,0.115,0.149,0.186,0.186,0.1366589010159999
1999-09-04,0.217,0.189,0.231,,,0.173,0.193,0.192,,0.21,0.216,0.199,0.159,0.239,0.234,0.115,0.225,0.195,0.197,0.166948401016
1999-09-05,0.192,0.199,0.215,,,0.195,0.204,0.199,,0.208,0.201,0.208,0.169,0.199,0.231,0.126,0.219,0.145,0.147,0.186220652032
1999-09-06,0.171,0.194,0.193,,,0.185,0.194,0.192,,0.193,0.187,0.194,0.164,0.175,0.214,0.133,0.203,0.124,0.127,0.1882209020319999
1999-09-07,0.161,0.171,0.188,,,0.18,0.192,0.165,,0.181,0.165,0.192,0.135,0.164,0.214,0.139,0.19,0.125,0.128,0.193999401016
1999-09-08,0.192,0.19,0.219,,,0.212,0.205,0.206,,0.203,0.198,0.206,0.177,0.193,0.234,0.144,0.214,0.121,0.122,0.20215915
1999-09-09,0.213,0.219,0.255,,,0.245,0.231,0.245,,0.233,0.216,0.233,0.345,0.204,0.276,0.165,0.244,0.1,0.104,0.22616215
1999-09-10,0.23,0.25,0.286,,,0.279,0.263,0.258,,0.26,0.233,0.272,,0.217,0.302,0.192,0.269,0.091,0.093,0.2584519
1999-09-11,0.189,0.2,0.23,,,0.225,0.236,0.206,,0.213,0.203,0.235,,0.189,0.24,0.202,0.223,0.111,0.107,0.2455931499999999
1999-09-12,0.163,0.172,0.179,,,,0.185,0.182,,0.169,0.192,0.182,,0.18,0.17,0.199,0.191,0.13,0.117,0.217748398984
1999-09-13,0.12,0.103,0.125,,,,0.146,0.133,,0.089,0.161,0.144,,0.167,0.075,0.193,0.131,0.212,0.189,0.1879669
1999-09-14,0.122,-0.01,0.136,,,,0.133,0.142,,-0.033,0.16,0.13,,0.209,-0.004,0.178,0.09,0.328,0.305,0.156756651016
1999-09-15,0.264,0.196,0.298,,,,0.241,0.317,,0.222,0.266,0.257,,0.285,0.293,0.162,0.265,0.246,0.255,0.1912054
1999-09-16,0.246,0.228,0.274,,,,0.279,0.185,,0.267,0.234,0.292,0.04,0.255,0.281,0.187,0.257,0.301,0.297,0.2448946489839999
1999-09-17,0.244,0.218,0.255,,,,0.27,0.189,,0.256,0.223,0.275,0.164,0.259,0.279,0.208,0.245,0.262,0.262,0.256102401016
1999-09-18,0.255,0.25,0.259,,,,0.261,0.216,,0.268,0.247,0.268,0.195,0.267,0.281,0.222,0.266,0.228,0.226,0.258515398984
1999-09-19,0.216,0.229,0.217,,,,0.243,0.195,,0.233,0.219,0.243,0.177,0.231,0.252,0.243,0.236,0.195,0.191,0.255276902032
1999-09-20,0.227,0.265,0.225,,,,0.229,0.271,,0.24,0.231,0.229,0.276,0.229,0.281,0.24,0.26,0.123,0.131,0.252863901016
1999-09-21,0.353,0.473,0.387,,,0.616,0.315,0.466,,0.354,0.353,0.395,0.504,0.292,0.49,0.288,0.44,-0.004,0.029,0.36846565
1999-09-22,0.269,0.266,0.34,,,0.276,0.327,0.238,,,0.262,0.358,0.198,0.254,0.348,0.339,0.303,0.088,0.084,0.38046715
1999-09-23,0.191,0.192,0.228,,,0.195,0.243,0.185,,,0.196,0.245,0.14,0.188,0.234,0.31,0.216,0.122,0.119,0.314998652032
1999-09-24,0.202,0.223,0.226,,,0.229,0.222,0.223,,,0.216,0.228,0.18,0.197,0.253,0.302,0.236,0.125,0.124,0.296964651016
1999-09-25,0.206,0.23,0.23,,,0.239,0.23,0.201,,,0.214,0.238,0.148,0.198,0.263,0.328,0.237,0.16,0.159,0.309188402032
1999-09-26,0.188,0.221,0.197,,,0.223,0.219,0.187,,,0.202,0.228,0.129,0.183,0.238,0.334,0.222,0.171,0.17,0.301758898984
1999-09-27,0.16,0.205,0.177,,0.149,0.202,0.208,0.17,,,0.186,0.201,0.11,0.157,0.212,0.32,0.201,0.15,0.149,0.2843599
1999-09-28,0.1,0.143,0.097,,0.083,0.125,0.174,0.114,,0.112,0.141,0.153,0.055,0.119,0.122,0.304,0.129,0.142,0.142,0.253721151016
1999-09-29,0.106,0.132,0.08,,0.075,0.123,0.149,0.148,,0.1,0.142,0.124,0.112,0.133,0.104,0.282,0.128,0.136,0.136,0.22749565
1999-09-30,0.123,0.149,0.125,,0.128,0.148,0.141,0.166,,0.129,0.151,0.117,0.14,0.137,0.144,0.265,0.156,0.092,0.091,0.21549415
1999-10-01,0.125,0.159,0.129,,0.129,0.16,0.142,0.156,,0.146,0.154,0.122,0.12,0.134,0.151,0.254,0.159,0.096,0.095,0.2056516489839999
1999-10-02,0.099,0.125,0.079,,0.076,0.129,0.128,0.097,,0.123,0.121,0.111,0.058,0.121,0.117,0.243,0.115,0.115,0.116,0.18730015
1999-10-03,0.086,0.114,0.06,,0.053,0.115,0.132,0.054,,0.112,0.106,0.115,-0.002,0.106,0.096,0.242,0.104,0.144,0.147,0.180696148984
1999-10-04,0.083,0.101,0.06,,0.069,0.115,0.13,0.085,,0.097,0.09,0.112,0.056,0.097,0.103,0.247,0.101,0.115,0.118,0.172980898984
1999-10-05,0.118,0.132,0.125,,0.122,0.136,0.122,0.143,,0.118,0.14,0.103,0.11,0.124,0.131,0.242,0.152,0.075,0.077,0.1738064010159999
1999-10-06,0.111,0.111,0.103,,0.089,0.106,0.127,0.101,,0.114,0.132,0.112,0.048,0.127,0.108,0.23,0.129,0.118,0.12,0.164662401016
1999-10-07,0.096,0.106,0.089,,0.079,0.105,0.127,0.093,,0.109,0.12,0.111,0.035,0.111,0.104,0.221,0.115,0.102,0.105,0.156978898984
1999-10-08,0.097,0.119,0.065,,0.059,0.116,0.114,0.107,,0.108,0.124,0.104,0.051,0.116,0.096,0.211,0.115,0.133,0.135,0.144786898984
1999-10-09,0.089,0.136,0.058,,0.045,0.127,0.123,0.107,,0.117,0.127,0.117,0.046,0.104,0.09,0.211,0.115,0.187,0.189,0.14386615
1999-10-10,0.052,0.083,0.02,,-0.002,0.071,0.123,0.047,,0.06,0.091,0.114,-0.022,0.077,0.035,0.207,0.075,0.181,0.184,0.128086401016
1999-10-11,0.079,0.095,0.038,,0.015,0.084,0.108,0.1,,0.059,0.122,0.096,0.037,0.11,0.041,0.197,0.1,0.145,0.15,0.1107191499999999
1999-10-12,0.08,0.111,0.043,,0.031,0.097,0.125,0.091,,0.091,0.119,0.115,0.023,0.11,0.07,0.195,0.094,0.166,0.171,0.118370901016
1999-10-13,0.057,0.072,0.013,,-0.006,,0.113,0.031,,0.055,0.084,0.102,-0.027,0.098,0.031,0.185,0.062,0.153,0.158,0.1032896499999999
1999-10-14,0.102,0.097,0.066,,0.064,,0.13,0.057,,0.115,0.117,0.118,-0.004,0.133,0.099,0.197,0.099,0.152,0.158,0.12367315
1999-10-15,0.362,0.428,0.02,,0.221,,0.258,0.226,,0.454,0.335,0.295,-0.087,0.309,0.444,0.418,0.32,0.389,0.395,0.327952648984
1999-10-16,0.365,0.342,0.511,,0.545,,,0.282,,,0.307,,0.269,0.28,0.56,0.518,0.41,0.026,0.031,0.580365152032
1999-10-17,0.187,0.157,0.287,,0.304,,,0.138,,,0.161,,0.128,0.155,0.324,0.465,0.224,0.055,0.061,0.45781015
